,avg_time_ms,std_time_ms,throughput_ips,memory_mb_before,memory_mb_after,memory_diff_mb,accuracy,total_params,trainable_params,non_trainable_params,model_size_mb
ResNet50,855.6589233344615,589.8040934318634,1.1686899683147676,2031.99609375,2056.75,24.75390625,,25636712.0,25583592.0,53120.0,97.79629516601562
VGGNet16,2523.4445933330185,1449.419327724341,0.3962837157756569,2056.75,2057.17578125,0.42578125,,138357544.0,138357544.0,0.0,527.7921447753906
InceptionV3,1007.3974466649815,864.6287183663935,0.9926568737200288,2057.17578125,2080.5625,23.38671875,,23851784.0,23817352.0,34432.0,90.98733520507812
ConvNeXt,2932.907756665857,830.3719612555585,0.3409585581841839,2080.5625,2091.90234375,11.33984375,,28589128.0,28589128.0,0.0,109.05886840820312
EfficientNet,11847.767729999516,7007.690056491276,0.08440408546058159,2091.90234375,2207.59375,115.69140625,,66658687.0,66347960.0,310727.0,254.28271102905273
