,real_avg_time_ms,real_throughput_ips,real_total_params,real_model_size_mb,real_accuracy,fake_avg_time_ms,fake_throughput_ips,fake_accuracy
ResNet50,693.8180200003748,1.4413001265078988,25636712.0,97.79629516601562,,855.6589233344615,1.1686899683147676,
VGGNet16,1709.208669999498,0.58506607037062,138357544.0,527.7921447753906,,2523.4445933330185,0.3962837157756569,
InceptionV3,830.7444766668293,1.2037395710559156,23851784.0,90.98733520507812,,1007.3974466649815,0.9926568737200288,
ConvNeXt,2426.375733333407,0.4121373232768771,28589128.0,109.05886840820312,,2932.907756665857,0.3409585581841839,
EfficientNet,7980.29152333329,0.12530870546221723,66658687.0,254.28271102905273,,11847.767729999516,0.08440408546058159,
