,avg_time_ms,std_time_ms,throughput_ips,memory_mb_before,memory_mb_after,memory_diff_mb,accuracy,total_params,trainable_params,non_trainable_params,model_size_mb
ResNet50,693.8180200003748,694.7466045814358,1.4413001265078988,1622.6328125,1668.83203125,46.19921875,,25636712.0,25583592.0,53120.0,97.79629516601562
VGGNet16,1709.208669999498,460.86362407293416,0.58506607037062,1668.83984375,1669.69140625,0.8515625,,138357544.0,138357544.0,0.0,527.7921447753906
InceptionV3,830.7444766668293,734.9800402961404,1.2037395710559156,1669.69140625,1709.078125,39.38671875,,23851784.0,23817352.0,34432.0,90.98733520507812
ConvNeXt,2426.375733333407,554.4202584543884,0.4121373232768771,1709.078125,1758.1171875,49.0390625,,28589128.0,28589128.0,0.0,109.05886840820312
EfficientNet,7980.29152333329,2728.6574475865145,0.12530870546221723,1758.1171875,1835.8828125,77.765625,,66658687.0,66347960.0,310727.0,254.28271102905273
