raw_component_name,id
AF8AXw-mmqx6962_.dbf,component_name_1169
AF8AXw-mtro484y_.dbf,component_name_1168
APIDAT_DATA,component_name_1195
APIRDB:1580,component_name_286
ARCHIVE_DATA,component_name_1207
AWS,component_name_1322
AWS-01-PROD,component_name_1233
AWS_CBS_Reporting_DB,component_name_19
AWS_CBS_Reporting_DB:1665:KBZRPTDCPDB,component_name_160
AWS_New_BI_Prod_N1,component_name_126
AWS_New_BI_Prod_N1_bi_server1:9503,component_name_1094
AWS_New_BI_Prod_N2,component_name_148
AWS_Security,component_name_59
Active,component_name_123
All,component_name_153
All Threads,component_name_1336
Apigee,component_name_28
BA-DC01,component_name_1206
BAGDB:1580,component_name_652
BAGPDB:1580,component_name_395
BIREPOPDB:1665:KBZBIREPOPDB,component_name_472
BIREPO_DB_Node_1,component_name_3
BI_DC_N1,component_name_152
BI_Reporting_Prod,component_name_93
BI_Reporting_Prod_DB:1665:KBZRPTDC,component_name_323
BI_Reporting_Prod_DB:1665:KBZRPTDCPDB,component_name_225
Biz01_Prod_DC_10.11.42.11,component_name_179
Biz01_Prod_DR_10.11.170.11,component_name_185
Biz02_Prod_DC_10.11.42.12,component_name_183
Biz02_Prod_DC_10.11.42.12:80,component_name_728
Biz02_Prod_DR_10.11.170.12,component_name_189
CBMNET_FIGW_APP_SERVER_DR,component_name_220
CBMNET_FIGW_DB_SERVER_DC:1433,component_name_515
CBMNET_FIGW_DB_SERVER_DR:1433,component_name_261
CBS-UAT-MC-DC,component_name_1296
CBSAccountingService_1568,component_name_21
CBSAccountingService_1568\Summary,component_name_1306
CBSAccountingService_1568\w3wp#12,component_name_1313
CBSAccountingService_1568\w3wp#13,component_name_1307
CBSAccountingService_1568\w3wp#14,component_name_1329
CBSAccountingService_1568\w3wp#15,component_name_1357
CBSAccountingService_1568\w3wp#17,component_name_1371
CBSAccountingService_1568\w3wp#19,component_name_1309
CBSAccountingService_1568\w3wp#20,component_name_1330
CBSAccountingService_1568\w3wp#21,component_name_1356
CBSAccountingService_1568\w3wp#22,component_name_1370
CBSAccountingService_1568\w3wp#24,component_name_1319
CBSAccountingService_1568\w3wp#25,component_name_1320
CBSAccountingService_1568\w3wp#26,component_name_1327
CBSAccountingService_1568\w3wp#8,component_name_1368
CBSCustomerServiceBalance_1528,component_name_20
CBSCustomerServiceBalance_1528\Summary,component_name_1305
CBSCustomerServiceBalance_1528\w3wp#3,component_name_1365
CBSCustomerServiceBalance_1528\w3wp#4,component_name_1312
CBSCustomerServiceBalance_1528\w3wp#5,component_name_1311
CBSCustomerServiceBalance_1528\w3wp#6,component_name_1310
CBSCustomerServiceBalance_1528\w3wp#7,component_name_1317
CBSCustomerServiceBalance_1528\w3wp#8,component_name_1304
CBSCustomerServiceBalance_1528\w3wp#9,component_name_1328
CBSCustomerService_1528,component_name_130
CBSCustomerService_1528\Summary,component_name_1341
CBS_DB:1580,component_name_363
CBS_Reporting,component_name_135
CBS_Reporting_DB:1580,component_name_1203
CD_01_dc01celadm07,component_name_1273
CD_06_dc01scceladm03,component_name_212
CD_06_dr01celadm02,component_name_1270
CD_09_dc01celadm07,component_name_1275
COLUMN,component_name_1301
COLUMN Store,component_name_1406
DATAC1,component_name_197
DATAC1/DATAC1_CD_06_dc01scceladm03,component_name_1383
DATAC2,component_name_200
DATAC2/DATAC2_CD_06_dc01scceladm03,component_name_1386
DATAC2/DATAC2_CD_09_dc01celadm07,component_name_1399
DATAC3,component_name_202
DATAC3/DATAC3_CD_06_dc01scceladm03,component_name_1388
DATAC4,component_name_204
DATAC4/DATAC4_CD_06_dc01scceladm03,component_name_1390
DATAC5,component_name_209
DATAC5/DATAC5_CD_06_dc01scceladm03,component_name_1395
DB02,component_name_1321
DBFSC1,component_name_198
DBFSC1/DBFSC1_CD_06_dc01scceladm03,component_name_1384
DBFSC2,component_name_199
DBFSC2/DBFSC2_CD_06_dc01scceladm03,component_name_1385
DBFSC3,component_name_206
DBFSC3/DBFSC3_CD_06_dc01scceladm03,component_name_1392
DBFSC4,component_name_207
DBFSC4/DBFSC4_CD_06_dc01scceladm03,component_name_1393
DBFSC5,component_name_210
DBFSC5/DBFSC5_CD_06_dc01scceladm03,component_name_1396
DBFS_DG,component_name_211
DBFS_DG/DBFS_DG_CD_06_dr01celadm02,component_name_1397
DC-CTS-DB-PRO,component_name_112
DC-CTS-DB-PRO:1433,component_name_483
DC-FCP-SVM,component_name_191
DC-FCP-SVM/DC_SMVBO2_SVNG_DB_DATA_03,component_name_1377
DC-FCP-SVM/DC_SMVBO2_SVNG_DB_DATA_2,component_name_1376
DC-FCP-SVM/T7_4_1_dcibapp01_u01,component_name_1375
DC-NFS-SVM,component_name_137
DC-NFS-SVM/DC_BI_Data,component_name_1349
DC-New-NFS-SVM,component_name_180
DC-New-NFS-SVM/DC_NFS_TZ_FCUBSPRD,component_name_1374
DC-New-NFS-SVM/DC_SMV_FE_DB_DATA01_TMP,component_name_1372
DR-CTS-DB-PRO:1433,component_name_858
DR-FCP-SVM,component_name_215
DR-FCP-SVM/DR_SMVBO2_FE_DB_RECO,component_name_1403
